marca,modelo,transmision,color,kilometraje,tipo_motor,capacidad_motor,carroceria,traccion,precio_en_usd,num_fotos,dias_en_catalogo,edad
Subaru,Legacy,automatic,red,152888,gasoline,2.5,sedan,all,11000,3,88,11
Subaru,Impreza,mechanical,silver,193000,gasoline,1.5,hatchback,front,7000,3,21,11
Subaru,Forester,mechanical,green,197,gasoline,2,universal,all,3000,7,6,21
Subaru,Forester,automatic,blue,162544,gasoline,2.5,suv,all,9700,1,10,10
Subaru,Forester,mechanical,blue,46671,gasoline,2.5,suv,all,8790,9,10,3
Subaru,Outback,automatic,red,56800,gasoline,2.5,universal,all,23400,8,163,5
Subaru,Legacy,automatic,black,260000,gasoline,3,sedan,all,6800,12,91,13
Subaru,Justy,mechanical,black,150000,gasoline,1,hatchback,front,6450,11,249,10
Subaru,Legacy,automatic,green,334567,gasoline,2.2,universal,all,1600,8,6,28
Subaru,Leone,mechanical,blue,350000,gasoline,1.8,universal,all,1500,2,58,33
Subaru,Legacy,mechanical,silver,388000,gasoline,2,universal,all,2300,1,58,24
Subaru,Justy,mechanical,silver,96370,gasoline,1,hatchback,front,5500,6,166,11
Subaru,Legacy,automatic,grey,300000,gasoline,2,universal,all,5999,9,38,13
Subaru,Impreza,automatic,white,280000,gasoline,2,sedan,all,9000,6,76,13
Subaru,WRX,automatic,white,69500,gasoline,2,sedan,all,24900,11,98,6
Subaru,Outback,automatic,white,237000,gasoline,3,universal,all,6150,20,90,16
Subaru,Forester,automatic,silver,289740,gasoline,2.5,universal,all,4200,3,57,19
Subaru,Legacy,automatic,silver,164000,gasoline,2,sedan,all,3700,12,8,19
Subaru,Impreza,automatic,red,280000,gasoline,2,sedan,front,1500,4,8,23
Subaru,XV,automatic,grey,95000,gasoline,2,suv,all,12999,18,37,8
Subaru,Impreza,automatic,grey,95000,gasoline,2,hatchback,all,12999,18,45,8
Subaru,Forester,mechanical,grey,193000,diesel,2,suv,all,9481.65,11,16,12
Subaru,Legacy,mechanical,black,225000,gasoline,2,sedan,all,6800,13,52,14
Subaru,Outback,automatic,silver,306000,gasoline,2.5,universal,all,7700,7,73,13
Subaru,Outback,automatic,black,362102,gasoline,2.5,universal,all,2800,3,36,23
Subaru,Forester,automatic,white,80467,gasoline,2,suv,all,22850,25,13,5
Subaru,Forester,automatic,white,300000,gasoline,2.5,universal,all,4990,19,59,22
Subaru,Legacy,automatic,silver,270370,gasoline,2.5,sedan,all,7000,8,72,14
Subaru,XV,automatic,red,100000,gasoline,1.6,suv,all,14000,30,50,8
Subaru,Impreza,mechanical,white,236000,gasoline,2,universal,all,3599,11,22,21
Subaru,Legacy,automatic,blue,350000,gasoline,2.5,sedan,all,4500,10,67,16
Subaru,Outback,automatic,other,370149,gasoline,2,universal,all,3290,19,91,24
Subaru,Forester,automatic,green,330000,gasoline,2,universal,all,4200,17,18,22
Subaru,Tribeca,automatic,grey,252000,gasoline,3,suv,all,8200,15,10,13
Subaru,Legacy,mechanical,other,343444,gasoline,2,universal,front,1800,2,53,24
Subaru,Legacy,mechanical,green,212000,gasoline,2.2,universal,all,2000,13,90,26
Subaru,Outback,automatic,other,50000,gasoline,2.5,suv,all,14300,9,78,11
Subaru,Impreza,mechanical,silver,295000,gasoline,2,sedan,all,1400,18,80,22
Subaru,Forester,automatic,other,116000,gasoline,2,suv,all,18900,18,31,5
Subaru,Impreza,mechanical,black,182000,gasoline,1.5,sedan,all,5500,8,262,13
Subaru,Forester,mechanical,red,226800,gasoline,2.5,universal,all,3799,18,38,19
Subaru,Impreza,automatic,white,339572,gasoline,2.2,universal,all,1600,9,132,23
Subaru,Tribeca,automatic,other,104000,gasoline,3.6,suv,all,13500,6,11,8
Subaru,Outback,automatic,black,187000,gasoline,2.5,universal,all,12300,3,40,9
Subaru,Forester,automatic,grey,92300,gasoline,2.5,suv,all,14499,16,70,8
Subaru,Forester,automatic,black,135000,gasoline,2.5,suv,all,19500,7,227,6
Subaru,XV,mechanical,blue,76000,diesel,2,hatchback,front,14000,11,16,5
Subaru,XV,mechanical,grey,72000,gasoline,2,suv,all,14938.82,9,12,6
Subaru,Tribeca,automatic,blue,35000,gasoline,3,suv,all,6600,10,17,14
Subaru,Outback,automatic,blue,170000,gasoline,2.5,universal,all,11550,18,14,10
Subaru,Forester,mechanical,black,364000,gasoline,2,universal,all,9050,16,129,12
Subaru,XV,automatic,grey,25480,gasoline,1.6,hatchback,all,19499,15,129,6
Subaru,Legacy,mechanical,black,144841,gasoline,2.5,sedan,all,10500,7,77,11
Subaru,Legacy,automatic,silver,280000,gasoline,2.5,universal,all,2800,16,31,16
Subaru,Outback,automatic,grey,187000,gasoline,2.5,universal,all,11650,21,62,10
Subaru,Forester,automatic,other,45250,gasoline,2.5,suv,all,28950,27,13,4
Subaru,Forester,automatic,other,80467,gasoline,2.5,suv,all,27950,28,13,4
Subaru,Tribeca,automatic,grey,145000,gasoline,3.6,suv,all,10750,12,70,13
Subaru,Legacy,automatic,violet,333134,gasoline,2.5,sedan,all,1800,5,33,22
Subaru,Outback,automatic,white,175000,gasoline,2.5,universal,all,12200,22,118,9
Subaru,Forester,mechanical,black,170000,gasoline,2,suv,all,7000,26,88,21
Subaru,Impreza,automatic,blue,180000,gasoline,2,hatchback,all,6650,4,185,13
Subaru,Outback,mechanical,other,292901,gasoline,2.5,universal,all,7100,11,64,16
Subaru,Outback,automatic,silver,380000,gasoline,2.5,universal,all,7000,13,491,15
Subaru,Outback,automatic,other,328000,gasoline,2.5,universal,all,4000,11,94,20
Subaru,Legacy,mechanical,silver,235000,gasoline,2,sedan,all,7100,7,28,13
Subaru,Legacy,mechanical,green,26500,gasoline,1.8,universal,all,1896.99,3,259,26
Subaru,Legacy,mechanical,blue,273588,gasoline,2.5,universal,all,2950,6,20,20
Subaru,Forester,mechanical,silver,221100,gasoline,2.5,sedan,all,5500,9,26,14
Subaru,Outback,automatic,black,198242,gasoline,2.5,universal,all,6800,16,107,15
Subaru,Outback,mechanical,blue,263105,gasoline,2.5,universal,all,7000,6,465,15
Subaru,Forester,automatic,silver,109000,gasoline,2.5,universal,all,17000,7,65,6
Subaru,Outback,mechanical,black,350000,gasoline,2.5,universal,all,6200,7,23,15
Subaru,Legacy,automatic,green,200000,gasoline,1.8,universal,all,1950,8,66,22
Subaru,Forester,automatic,black,193121,gasoline,2.5,suv,all,10499,4,493,10
Subaru,Forester,automatic,other,241402,gasoline,2.5,universal,all,4000,5,196,19
Subaru,Legacy,mechanical,green,250000,gasoline,2,universal,all,2300,2,29,23
Subaru,Legacy,automatic,blue,321869,gasoline,2.2,sedan,all,2500,20,61,22
Subaru,Legacy,mechanical,silver,239065,gasoline,2.5,universal,all,6900,12,178,15
Subaru,Legacy,mechanical,silver,25000,gasoline,2,universal,front,800,13,60,26
Subaru,Legacy,automatic,white,185000,gasoline,2.5,sedan,all,11990,19,258,10
Subaru,Outback,automatic,blue,350000,gasoline,2.5,universal,all,4000,1,32,18
Subaru,Forester,automatic,black,198000,gasoline,2.5,suv,all,10150,8,37,12
Subaru,Legacy,automatic,black,205000,gasoline,2,sedan,all,6200,12,101,14
Subaru,Tribeca,automatic,grey,154000,gasoline,3.6,suv,all,8900,13,77,12
Subaru,Forester,automatic,white,225308,gasoline,2.5,suv,all,11000,5,57,12
Subaru,Libero,mechanical,green,178900,gasoline,1.2,minibus,all,2134.12,11,63,28
Subaru,Forester,automatic,red,176000,gasoline,2,suv,all,11300,10,84,8
Subaru,Outback,automatic,black,240000,gasoline,2.5,universal,all,15500,4,80,8
Subaru,Legacy,automatic,silver,325000,gasoline,2,sedan,all,4650,12,139,17
Subaru,Tribeca,automatic,white,140000,gasoline,3.6,suv,all,10700,6,63,13
Subaru,Legacy,automatic,blue,121000,gasoline,2.5,sedan,all,10300,6,383,12
Subaru,Outback,automatic,green,347000,gasoline,3,universal,all,3950,8,42,19
Subaru,Justy,mechanical,black,122000,gasoline,1,hatchback,front,6200,5,89,11
Subaru,Impreza,automatic,other,289682,gasoline,2.5,universal,all,3000,7,139,18
Subaru,Impreza,mechanical,white,98000,gasoline,2.5,sedan,all,14500,20,134,8
Subaru,XV,automatic,silver,93342,gasoline,2,suv,all,13800,3,57,8
Subaru,Outback,automatic,other,52000,gasoline,2.5,suv,all,35500,6,57,5
Subaru,Forester,automatic,silver,199500,gasoline,2.5,suv,all,7300,13,42,13
Subaru,Tribeca,automatic,grey,160934,gasoline,3.6,suv,all,14000,17,81,9
Subaru,Forester,mechanical,green,344400,gasoline,2.5,suv,all,3414.59,14,45,23
Subaru,Impreza,mechanical,blue,155000,gasoline,2,sedan,all,9800,8,45,15
Subaru,Impreza,mechanical,blue,97000,gasoline,2,sedan,all,8200,7,352,15
Subaru,Legacy,mechanical,grey,222089,gasoline,2.5,sedan,all,10100,9,91,12
Subaru,Impreza,mechanical,black,190000,gasoline,2.5,sedan,all,11500,1,60,14
Subaru,Outback,automatic,other,13000,gasoline,2.5,universal,all,27000,9,53,2
Subaru,Legacy,mechanical,red,280000,gasoline,2,sedan,all,1500,13,59,30
Subaru,Forester,automatic,black,150200,gasoline,2.5,suv,all,8999,11,75,12
Subaru,Forester,automatic,green,228527,gasoline,2.5,universal,all,4000,6,57,21
Subaru,Outback,automatic,silver,180000,gasoline,2.5,universal,all,6500,7,65,15
Subaru,Legacy,mechanical,black,350000,gasoline,2,sedan,front,1000,4,75,27
Subaru,Outback,mechanical,blue,449007,gasoline,2.5,universal,all,2500,14,176,19
Subaru,Outback,automatic,black,241402,gasoline,2.5,universal,all,13400,10,59,10
Subaru,Forester,mechanical,blue,453024,gasoline,2.5,universal,all,3000,2,197,19
Subaru,Outback,automatic,black,237000,gasoline,2.5,universal,all,7000,5,57,15
Subaru,Legacy,automatic,blue,390000,gasoline,2.5,universal,all,2300,13,78,23
Subaru,Forester,automatic,grey,305775,gasoline,2.5,universal,all,9600,8,58,13
Subaru,Forester,mechanical,red,518209,gasoline,2.5,universal,all,3500,9,58,21
Subaru,Impreza,automatic,silver,287000,gasoline,2,universal,all,3400,4,58,17
Subaru,Forester,mechanical,silver,325000,gasoline,2,suv,all,6800,6,60,14
Subaru,Forester,automatic,black,390000,gasoline,2.5,sedan,all,4900,4,60,18
Subaru,Libero,mechanical,white,300000,gasoline,1.2,minivan,all,800,6,60,28
Subaru,Outback,automatic,black,500000,gasoline,2.5,universal,all,3777,12,88,19
Subaru,Legacy,mechanical,green,250000,gasoline,2,sedan,all,4700,10,117,16
Subaru,Forester,automatic,blue,179000,gasoline,2.5,universal,all,3600,8,60,20
Subaru,Legacy,automatic,grey,999999,gasoline,2.2,universal,all,400,7,62,29
Subaru,Forester,mechanical,green,270000,diesel,2,suv,all,10200,1,63,12
Subaru,XV,automatic,green,200000,gasoline,2,hatchback,all,19500,11,63,6
Subaru,Impreza,automatic,green,465000,gasoline,2,universal,all,3000,6,65,22
Subaru,Outback,automatic,black,298533,gasoline,2.5,universal,all,7900,12,103,12
Subaru,Legacy,automatic,silver,300000,gasoline,2.2,universal,all,1150,24,122,30
Subaru,Impreza,automatic,grey,138404,gasoline,2.5,sedan,all,6500,12,68,13
Subaru,Tribeca,automatic,silver,140000,gasoline,3.6,suv,all,10100,10,68,12
Subaru,Forester,mechanical,green,276807,gasoline,2.5,suv,all,2750,2,71,22
Subaru,Forester,automatic,white,176000,gasoline,2,universal,all,11100,6,71,9
Subaru,Legacy,mechanical,blue,140000,gasoline,2,sedan,all,3500,5,72,20
Subaru,Forester,automatic,blue,160000,gasoline,2.5,suv,all,12350,17,99,8
Subaru,Forester,automatic,blue,595457,gasoline,2.5,suv,all,2700,5,74,19
Subaru,Impreza,mechanical,silver,58270,gasoline,1.5,hatchback,front,6750,8,74,11
Subaru,Impreza,automatic,silver,222000,gasoline,2,hatchback,all,8700,35,74,12
Subaru,Impreza,mechanical,blue,172000,gasoline,2,sedan,all,11000,6,75,14
Subaru,Impreza,automatic,silver,274000,gasoline,2,sedan,all,11500,3,75,14
Subaru,Legacy,mechanical,blue,329916,gasoline,2.2,universal,all,2700,2,78,21
Subaru,Legacy,automatic,white,260000,gasoline,2.5,sedan,all,3400,6,126,21
Subaru,Outback,mechanical,black,234000,diesel,2,universal,all,9950,1,79,11
Subaru,Legacy,automatic,other,280000,gasoline,3,sedan,all,8500,11,80,16
Subaru,Tribeca,automatic,blue,300947,gasoline,3,suv,all,5500,6,84,14
Subaru,Forester,mechanical,white,280000,gasoline,2,suv,all,4850,9,86,22
Subaru,Forester,automatic,blue,156000,gasoline,2,suv,all,9150,9,88,12
Subaru,Outback,mechanical,other,200000,gasoline,2.5,universal,all,7200,8,91,16
Subaru,Impreza,mechanical,red,368000,gasoline,1.6,sedan,all,948.5,4,101,26
Subaru,Outback,automatic,silver,299000,gasoline,2.5,universal,all,7000,13,113,14
Subaru,Impreza,mechanical,blue,164000,gasoline,2,sedan,all,4742.47,3,117,18
Subaru,Forester,automatic,white,140013,gasoline,2.5,suv,all,11000,10,122,12
Subaru,Outback,automatic,blue,232000,gasoline,2.5,universal,all,14000,14,129,10
Subaru,Tribeca,automatic,grey,257495,gasoline,3.6,suv,all,9900,1,130,13
Subaru,Forester,automatic,silver,120000,gasoline,2.5,suv,all,12800,7,136,11
Subaru,Outback,automatic,green,304166,gasoline,2.5,universal,all,1850,7,142,22
Subaru,Forester,automatic,green,257500,gasoline,2.5,universal,all,3000,3,144,20
Subaru,Outback,automatic,other,145000,gasoline,2,universal,all,3700,11,150,21
Subaru,Forester,automatic,green,265000,gasoline,2.5,universal,all,6700,11,152,16
Subaru,Impreza,automatic,grey,142000,gasoline,2,hatchback,all,9777,14,153,10
Subaru,Outback,automatic,green,260000,gasoline,2.5,universal,all,4700,10,154,18
Subaru,Tribeca,automatic,grey,241402,gasoline,3.6,suv,all,10000,10,159,12
Subaru,Outback,automatic,black,289682,gasoline,2.5,universal,all,7113.72,6,165,16
Subaru,Legacy,mechanical,red,212997,gasoline,2,sedan,all,3800,6,228,19
Subaru,Forester,automatic,grey,79000,gasoline,2,suv,all,19600,6,232,5
Subaru,Legacy,automatic,silver,386243,gasoline,2.5,sedan,all,4300,8,233,18
Subaru,Tribeca,automatic,black,237000,gasoline,3,suv,all,8600,27,301,14
Subaru,Impreza,automatic,silver,215000,gasoline,2,sedan,all,3800,11,310,15
Subaru,Impreza,mechanical,blue,190000,gasoline,2,sedan,all,7100,20,397,14
Subaru,Forester,automatic,other,170000,gasoline,2,suv,all,9000,3,955,12
Subaru,Legacy,mechanical,black,150000,gasoline,3,sedan,all,9000,6,1153,16
Subaru,Forester,automatic,violet,275471,gasoline,2.5,universal,all,4000,8,1322,19
Subaru,Legacy,automatic,white,225308,gasoline,2.5,sedan,all,12300,10,91,9
Subaru,Outback,automatic,green,233355,gasoline,2.5,suv,all,13500,12,81,10
LADA,Vesta,automatic,grey,64400,gasoline,1.6,sedan,front,8200,6,0,3
LADA,Largus,mechanical,silver,78932,gasoline,1.6,universal,front,7066.3,14,0,6
LADA,Vesta,mechanical,brown,46000,gasoline,1.6,universal,front,10600,2,70,2
LADA,Largus,mechanical,black,30500,gasoline,1.6,universal,front,8900,9,6,3
LADA,Vesta,automatic,red,35460,gasoline,1.8,universal,front,11450,20,45,2
LADA,Vesta,automatic,brown,55378,gasoline,1.8,universal,front,11300,23,51,2
LADA,Vesta,automatic,orange,7610,gasoline,1.8,universal,front,12900,22,35,2
LADA,Vesta,mechanical,blue,18000,gasoline,1.8,universal,front,12500,6,37,2
LADA,Vesta,mechanical,black,75000,gasoline,1.8,universal,front,11450,22,14,2
LADA,XRAY,mechanical,brown,40000,gasoline,1.6,hatchback,front,9900,4,7,2
LADA,4x4,mechanical,grey,15228,gasoline,1.7,suv,all,6615.76,15,17,3
LADA,XRAY,automatic,other,40000,gasoline,1.8,suv,front,9950,31,33,3
LADA,4x4,mechanical,black,9000,gasoline,1.7,suv,all,7499,8,31,3
LADA,Priora,mechanical,silver,115000,gasoline,1.6,sedan,front,3000,3,7,12
LADA,Priora,mechanical,black,73000,gasoline,1.6,hatchback,front,3800,8,82,9
LADA,Vesta,automatic,red,38000,gasoline,1.8,universal,front,12999,16,56,2
LADA,Vesta,mechanical,orange,13000,gasoline,1.8,universal,front,13300,10,14,1
LADA,Priora,mechanical,white,106600,gasoline,1.6,sedan,front,5200,14,31,5
LADA,Priora,mechanical,grey,320552,gasoline,1.6,sedan,front,2850,11,21,12
LADA,Vesta,automatic,black,42500,gasoline,1.8,universal,front,11619.08,4,61,2
LADA,Vesta,mechanical,grey,15500,gasoline,1.6,universal,front,10433.45,7,48,2
LADA,Priora,mechanical,silver,76000,gasoline,1.6,sedan,front,3250,8,6,11
LADA,4x4,mechanical,blue,110000,gasoline,1.7,suv,all,4850,4,45,6
LADA,Vesta,mechanical,white,53000,gasoline,1.6,sedan,front,8300,10,11,3
LADA,Vesta,mechanical,silver,25000,gasoline,1.6,universal,front,8800,14,2,2
LADA,Largus,mechanical,other,135350,gasoline,1.6,van,front,6500,2,26,5
LADA,Vesta,automatic,black,94000,gasoline,1.8,sedan,front,8000,1,307,3
LADA,Granta,mechanical,other,43524,gasoline,1.6,sedan,front,5400,13,2,8
LADA,111,mechanical,other,256000,gasoline,1.6,sedan,rear,420,7,31,34
LADA,XRAY,automatic,red,75000,gasoline,1.8,hatchback,front,8536.46,18,65,3
LADA,4x4,mechanical,blue,131000,gasoline,1.7,suv,all,4900,12,55,4
LADA,Vesta,mechanical,brown,49200,gasoline,1.6,universal,front,10700,16,21,2
LADA,111,mechanical,red,123456,gasoline,1.1,sedan,rear,120,5,2,43
LADA,Kalina,mechanical,black,71000,gasoline,1.6,hatchback,front,4400,17,28,8
LADA,4x4,mechanical,green,1111,gasoline,1.6,suv,all,1400,2,4,38
LADA,Priora,mechanical,silver,170000,gasoline,1.6,sedan,front,3450,8,20,12
LADA,Vesta,mechanical,grey,3150,gasoline,1.6,sedan,front,11500,6,33,1
LADA,XRAY,automatic,black,2000,gasoline,1.8,hatchback,front,11500,1,3,1
LADA,Largus,mechanical,silver,160000,gasoline,1.6,van,front,4000,14,50,6
